GameID,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,home_Possessions,home_FantasyPoints,home_Minutes,home_Seconds,home_FieldGoalsMade,home_FieldGoalsAttempted,home_FieldGoalsPercentage,home_EffectiveFieldGoalsPercentage,home_TwoPointersMade,home_TwoPointersAttempted,home_TwoPointersPercentage,home_ThreePointersMade,home_ThreePointersAttempted,home_ThreePointersPercentage,home_FreeThrowsMade,home_FreeThrowsAttempted,home_FreeThrowsPercentage,home_OffensiveRebounds,home_DefensiveRebounds,home_Rebounds,home_Assists,home_Steals,home_BlockedShots,home_Turnovers,home_PersonalFouls,home_Points,home_TrueShootingAttempts,home_TrueShootingPercentage,home_FantasyPointsFanDuel,home_FantasyPointsDraftKings,home_FantasyPointsYahoo,home_PlusMinus,home_DoubleDoubles,home_TripleDoubles,home_FantasyPointsFantasyDraft,away_Possessions,away_FantasyPoints,away_Minutes,away_Seconds,away_FieldGoalsMade,away_FieldGoalsAttempted,away_FieldGoalsPercentage,away_EffectiveFieldGoalsPercentage,away_TwoPointersMade,away_TwoPointersAttempted,away_TwoPointersPercentage,away_ThreePointersMade,away_ThreePointersAttempted,away_ThreePointersPercentage,away_FreeThrowsMade,away_FreeThrowsAttempted,away_FreeThrowsPercentage,away_OffensiveRebounds,away_DefensiveRebounds,away_Rebounds,away_Assists,away_Steals,away_BlockedShots,away_Turnovers,away_PersonalFouls,away_Points,away_TrueShootingAttempts,away_TrueShootingPercentage,away_FantasyPointsFanDuel,away_FantasyPointsDraftKings,away_FantasyPointsYahoo,away_PlusMinus,away_DoubleDoubles,away_TripleDoubles,away_FantasyPointsFantasyDraft
20414,DAL,PHI,174,180,143.6,298.1,360,0,59.9,128.8,69.7,83.6,36.0,67.4,79.8,24.0,61.4,58.4,30.0,34.5,130.3,18.0,49.4,67.4,30.0,13.5,4.5,25.5,27.0,173.8,144.0,90.5,310.1,332.9,310.1,-30.0,2.2,2.2,330.7,143.6,346.6,360,0,59.9,131.8,68.2,78.3,43.4,76.4,85.2,16.5,55.4,44.5,43.4,46.4,140.1,19.5,43.4,62.9,38.9,15.0,11.2,12.0,28.5,179.8,152.3,88.5,369.1,364.0,369.1,30.0,0.0,0.0,364.0
20415,BOS,GS,210,132,78.6,216.4,188,0,41.4,75.1,43.2,53.8,21.9,36.8,46.6,19.6,38.3,39.9,5.5,6.7,64.0,4.3,34.4,39.9,27.4,6.1,3.1,4.3,14.9,109.5,78.9,54.2,228.1,230.9,228.1,203.3,0.0,0.0,230.9,78.6,134.7,188,0,28.2,71.9,30.6,34.0,22.7,39.9,44.5,4.3,32.1,13.4,5.5,10.2,54.1,7.3,26.6,36.0,18.8,1.2,1.8,13.3,10.2,68.8,76.4,35.3,138.6,145.8,138.6,-203.3,0.0,0.0,145.8
20416,MIN,LAC,132,133,129.4,280.2,343,0,44.4,114.5,55.5,64.4,31.5,67.3,67.0,12.9,47.2,39.1,24.3,25.8,135.1,17.2,60.1,77.3,34.3,8.2,10.0,21.5,20.0,125.9,125.8,71.6,295.9,303.4,295.9,-7.2,2.0,0.0,303.4,129.4,254.0,343,0,45.8,121.6,53.8,62.2,31.5,73.0,61.7,14.3,48.7,42.1,21.5,24.3,126.2,10.0,47.2,57.2,24.3,10.0,10.2,12.9,17.2,127.4,132.3,68.8,271.2,270.5,271.2,10.2,0.0,0.0,270.5
20417,ORL,DET,169,136,69.5,151.8,171,42,30.7,51.4,42.6,45.6,25.7,35.0,52.5,3.6,16.4,21.7,14.3,17.8,57.1,3.6,29.3,34.3,17.1,3.6,3.1,14.3,11.4,80.7,59.3,48.6,161.1,163.1,161.1,78.5,0.0,0.0,163.1,69.5,125.7,171,42,23.6,61.4,27.4,30.7,17.8,35.7,35.7,4.1,25.7,15.9,12.1,14.3,60.7,2.5,16.4,20.0,17.8,5.6,1.0,6.1,13.6,65.0,67.7,34.2,135.0,133.9,135.0,-78.5,0.0,0.0,133.9
20418,TOR,CHA,166,159,109.9,240.1,261,65,45.9,99.6,50.5,57.7,31.7,58.0,59.8,14.2,41.6,37.4,15.3,19.7,85.1,12.0,37.2,49.2,29.5,9.6,7.2,15.3,17.5,121.4,108.2,61.4,255.4,259.0,255.4,27.4,1.2,0.0,259.0,109.9,227.6,263,0,47.0,100.6,51.1,55.9,38.3,71.1,58.9,9.6,29.5,32.4,13.1,17.5,82.0,12.0,37.2,49.2,26.3,9.6,7.2,17.5,16.4,116.0,108.3,58.5,242.9,246.4,242.9,-27.4,2.4,0.0,246.4
20419,CLE,NY,144,151,33.3,77.6,90,22,14.7,32.9,16.9,20.9,3.1,16.3,19.4,2.4,16.6,14.6,0.4,1.1,14.2,1.4,11.0,14.7,11.7,1.0,0.7,1.4,1.6,37.0,34.2,20.4,82.1,84.0,82.1,-17.0,0.1,0.0,84.0,33.3,89.4,91,0,15.9,32.5,18.4,22.0,3.7,17.8,20.9,2.3,14.7,15.5,1.0,1.4,26.5,1.4,14.0,17.8,12.1,1.1,1.3,1.3,1.9,40.4,34.2,22.3,95.8,96.7,95.8,17.0,0.1,0.1,96.1
20420,SA,IND,145,132,91.0,223.2,228,0,43.8,80.9,51.5,57.1,34.3,57.1,57.1,9.1,23.8,38.1,14.3,18.1,75.1,9.1,33.3,42.8,31.4,5.4,7.3,13.3,16.2,111.4,88.9,59.6,236.6,238.2,236.6,57.1,0.9,0.0,238.2,91.0,191.7,228,0,39.0,88.5,42.0,45.0,33.3,60.0,52.9,5.4,28.6,19.0,16.2,20.0,77.1,13.3,26.7,40.0,19.0,8.2,3.6,9.1,13.3,100.0,97.3,49.0,204.1,202.8,204.1,-57.1,0.9,0.0,202.8
20409,BKN,ATL,158,141,91.0,223.9,236,0,40.3,86.4,45.8,53.5,25.5,55.0,45.6,14.7,31.4,46.1,16.7,21.6,75.9,11.8,32.4,44.2,27.5,5.8,7.7,9.6,18.7,111.9,95.9,57.4,237.6,239.9,237.6,58.9,1.0,0.0,239.9,91.0,188.4,236,0,36.3,85.4,41.7,47.4,25.5,52.0,48.2,10.8,33.4,31.8,16.7,22.6,72.6,11.8,29.5,41.2,22.6,3.9,3.9,10.8,18.7,100.2,95.4,51.7,196.3,204.3,196.3,-58.9,1.9,0.0,204.3
20410,MIA,UTA,174,166,127.2,319.4,327,0,62.7,119.9,71.3,80.6,45.0,73.6,83.3,17.7,46.3,52.1,28.6,34.1,114.5,10.9,35.4,46.3,45.0,11.1,11.1,11.1,27.3,171.7,134.9,86.7,335.7,334.6,335.7,40.9,0.0,0.0,334.6,127.2,289.5,327,0,57.2,118.6,65.8,76.7,38.2,70.9,73.3,19.1,47.7,54.5,30.0,35.4,115.3,16.4,40.9,57.2,32.7,5.6,9.3,13.6,25.9,163.6,134.2,83.0,300.4,308.7,300.4,-40.9,0.0,0.0,308.7
20411,MEM,POR,138,148,69.8,136.8,171,0,19.4,53.7,23.4,29.6,6.3,27.8,22.6,6.3,25.9,24.3,16.2,21.4,49.0,3.8,23.3,29.1,13.6,6.3,3.8,14.2,11.0,64.7,63.1,33.2,152.4,150.3,152.4,-22.6,0.0,0.0,150.3,69.8,133.0,171,0,25.2,59.5,27.4,30.9,18.1,36.9,31.8,4.6,22.6,20.3,11.6,15.5,48.5,5.4,23.9,32.4,14.9,3.3,2.1,14.2,16.2,69.2,66.4,33.8,141.4,146.2,141.4,22.6,0.4,0.0,146.2
20412,LAL,DEN,158,172,120.7,274.4,311,0,60.9,115.3,68.4,77.2,45.4,77.8,75.6,15.6,37.6,53.7,10.4,14.3,94.2,10.1,32.4,40.2,42.8,8.4,6.7,11.8,11.7,147.7,121.6,78.5,286.0,292.6,286.0,-64.8,3.4,0.0,292.6,120.7,318.0,311,0,70.0,119.2,76.1,84.5,55.7,85.5,84.5,14.3,33.7,54.8,8.4,11.8,92.5,14.3,46.7,60.9,44.1,8.4,11.8,13.0,10.4,160.7,123.2,84.6,333.6,340.5,333.6,64.8,5.0,0.0,340.5
20413,PHO,HOU,151,163,60.7,118.8,139,0,22.6,49.3,26.6,30.0,17.4,32.5,31.1,3.0,16.8,18.0,12.8,16.8,44.0,3.0,22.0,27.3,13.3,2.0,2.0,11.0,5.7,63.2,56.7,32.2,125.8,129.2,125.8,-26.1,0.3,0.0,129.2,60.7,137.6,139,0,24.4,55.7,25.4,30.2,15.1,31.3,27.9,5.4,24.4,22.1,10.4,15.1,40.1,4.4,20.9,28.4,15.7,4.4,1.0,4.0,12.8,68.4,62.3,31.8,146.9,148.9,146.9,26.1,0.7,0.0,148.9
